FECHA,NEMO,MONTO,CANTIDAD,PRECIO CIERRE,PRECIO MIN,PRECIO MAX,PRECIO PROM
2016-01-12,ISAGEN,34512065610,10498288,3260,3200,3400,3287.4
2016-01-12,JPM,0,0,196660,0,0,0
2016-01-12,MANCEMENTO,0,0,38000,0,0,0
2016-01-12,MINEROS,0,0,1970,0,0,0
2016-01-12,NUTRESA,5057052820,225916,22380,22300,22500,22384.66
2016-01-12,OCCIDENTE,0,0,38500,0,0,0
2016-01-12,ODINSA,0,0,8500,0,0,0
2016-01-12,PAZRIO,0,0,7.79,0,0,0
2016-01-12,PFAVAL,3873744338,3875856,1015,970,1030,999.46
2016-01-12,PFAVH,499759310,331407,1495,1490,1525,1507.99
2016-01-12,PFBBVACOL,0,0,295,0,0,0
2016-01-12,PFBCOLOM,5753777640,278415,20920,20460,21000,20666.19
2016-01-12,PFCARPAK,7149590,4355,1790,0,0,1641.7
2016-01-12,PFCEMARGOS,818232880,92440,8800,8800,9000,8851.5
2016-01-12,PFCORFICOL,0,0,32500,0,0,0
2016-01-12,PFDAVVNDA,4330490480,202320,21780,21140,21800,21404.16
2016-01-12,PFE,0,0,103460,0,0,0
2016-01-12,PFGRUPOARG,567616220,39474,14300,14300,14520,14379.5
2016-01-12,PFGRUPSURA,2186615220,71981,30400,29520,31640,30377.67
2016-01-12,PFVILLAS,0,0,6000,0,0,0
2016-01-12,PFVILLASCA,0,0,2700,0,0,0
2016-01-12,POPULAR,0,0,500,0,0,0
2016-01-12,PPH,0,0,205100,0,0,0
2016-01-12,PREC,126245045,42920,2815,2815,3140,2941.4
2016-01-12,PROMIGAS,2205000,450,5000,0,0,4900
2016-01-12,PROTECCION,0,0,71000,0,0,0
2016-01-12,RSX,0,0,49300,0,0,0
2016-01-12,SDIV,0,0,62180,0,0,0
2016-01-12,SOCBOLIVAR,0,0,57000,0,0,0
2016-01-12,TABLEMAC,0,0,9,0,0,0
2016-01-12,TERPEL,27039600,3219,8400,8400,8400,8400
2016-01-12,TGLSC,49720000,1130,44000,44000,44000,44000
2016-01-12,VALINDUSTR,0,0,5500,0,0,0
2016-01-12,VALOREM,11737180,27826,460,0,0,421.81
2016-01-12,VALSIMESA,0,0,1500,0,0,0
2016-01-12,VILLAS,0,0,9500,0,0,0
